'Date', 'Value'
11/1/2023,1055.76
10/1/2023,1053.35
9/1/2023,1054.21
6/1/2023,1051.44
5/1/2023,1055.82
4/1/2023,1046.35
3/1/2023,1043.90
30/12/2022,1007.09
29/12/2022,1009.29
28/12/2022,1015.66
27/12/2022,1004.57
26/12/2022,985.21
23/12/2022,1020.34
22/12/2022,1022.61
21/12/2022,1018.88
20/12/2022,1023.13
19/12/2022,1038.40
16/12/2022,1052.48
15/12/2022,1055.32
14/12/2022,1050.43
13/12/2022,1047.45
12/12/2022,1032.07
9/12/2022,1051.81
8/12/2022,1050.53
7/12/2022,1041.02
6/12/2022,1048.69
5/12/2022,1093.67
2/12/2022,1080.01
1/12/2022,1036.28
30/11/2022,1048.42
29/11/2022,1032.16
28/11/2022,1005.69
25/11/2022,971.46
24/11/2022,947.71
23/11/2022,946.00
22/11/2022,952.12
21/11/2022,960.65
18/11/2022,969.33
17/11/2022,969.26
16/11/2022,942.90
15/11/2022,911.90
14/11/2022,941.04
11/11/2022,954.53
10/11/2022,947.24
9/11/2022,985.59
8/11/2022,981.65
7/11/2022,975.19
4/11/2022,997.15
3/11/2022,1019.81
2/11/2022,1023.19
1/11/2022,1033.75
31/10/2022,1027.94
28/10/2022,1027.36
27/10/2022,1028.01
26/10/2022,993.36
25/10/2022,997.70
24/10/2022,986.15
21/10/2022,1019.82
20/10/2022,1058.45
19/10/2022,1060.07
18/10/2022,1063.66
17/10/2022,1051.58
14/10/2022,1061.85
13/10/2022,1050.99
12/10/2022,1034.81
11/10/2022,1006.20
10/10/2022,1042.48
7/10/2022,1035.91
6/10/2022,1074.52
5/10/2022,1104.26
4/10/2022,1078.14
3/10/2022,1086.44
30/09/2022,1132.11
29/09/2022,1126.07
28/09/2022,1143.62
27/09/2022,1166.54
26/09/2022,1174.35
23/09/2022,1203.28
22/09/2022,1214.70
21/09/2022,1210.55
20/09/2022,1218.93
19/09/2022,1205.43
16/09/2022,1234.03
15/09/2022,1245.66
14/09/2022,1240.77
13/09/2022,1248.40
12/9/2022,1249.62
9/9/2022,1248.78
8/9/2022,1234.60
7/9/2022,1243.17
6/9/2022,1277.40
5/9/2022,1277.35
31/08/2022,1280.51
30/08/2022,1279.39
29/08/2022,1270.80
26/08/2022,1282.57
25/08/2022,1288.88
24/08/2022,1277.16
23/08/2022,1270.81
22/08/2022,1260.43
19/08/2022,1269.18
18/08/2022,1273.66
17/08/2022,1275.28
16/08/2022,1274.69
15/08/2022,1274.20
12/8/2022,1262.33
11/8/2022,1252.07
10/8/2022,1256.50
9/8/2022,1258.85
8/8/2022,1256.75
5/8/2022,1252.74
4/8/2022,1254.15
3/8/2022,1249.76
2/8/2022,1241.62
1/8/2022,1231.35
29/07/2022,1206.33
28/07/2022,1208.12
27/07/2022,1191.04
26/07/2022,1185.07
25/07/2022,1188.50
22/07/2022,1194.76
21/07/2022,1198.47
20/07/2022,1194.14
19/07/2022,1178.33
18/07/2022,1176.49
15/07/2022,1179.25
14/07/2022,1182.17
13/07/2022,1173.92
12/7/2022,1174.82
11/7/2022,1155.29
8/7/2022,1171.31
7/7/2022,1166.48
6/7/2022,1149.61
5/7/2022,1181.29
4/7/2022,1195.53
1/7/2022,1198.90
30/06/2022,1197.60
29/06/2022,1218.09
28/06/2022,1218.10
27/06/2022,1202.82
24/06/2022,1185.48
23/06/2022,1188.88
22/06/2022,1169.27
21/06/2022,1172.47
20/06/2022,1180.40
17/06/2022,1217.30
16/06/2022,1236.63
15/06/2022,1213.93
14/06/2022,1230.31
13/06/2022,1227.04
10/6/2022,1284.08
9/6/2022,1307.80
8/6/2022,1307.91
7/6/2022,1291.35
6/6/2022,1290.01
3/6/2022,1287.98
2/6/2022,1288.62
1/6/2022,1299.52
31/05/2022,1292.68
30/05/2022,1293.92
27/05/2022,1285.45
26/05/2022,1268.57
25/05/2022,1268.43
24/05/2022,1233.38
23/05/2022,1218.81
20/05/2022,1240.71
19/05/2022,1241.64
18/05/2022,1240.76
17/05/2022,1228.37
16/05/2022,1171.95
13/05/2022,1182.77
12/5/2022,1238.84
11/5/2022,1301.53
10/5/2022,1293.56
9/5/2022,1269.62
6/5/2022,1329.26
5/5/2022,1360.68
4/5/2022,1348.68
29/04/2022,1366.80
28/04/2022,1350.99
27/04/2022,1353.77
26/04/2022,1341.34
25/04/2022,1310.92
22/04/2022,1379.23
21/04/2022,1370.21
20/04/2022,1384.72
19/04/2022,1406.45
18/04/2022,1432.60
15/04/2022,1458.56
14/04/2022,1472.12
13/04/2022,1477.20
12/4/2022,1455.25
8/4/2022,1482.00
7/4/2022,1502.35
